SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
098b900f-8965-427d-87ba-ccd671309180,Arithmetic Operators and Functions,*,CREATE FUNCTION,SQL,1,0,1,0,0
098b900f-8965-427d-87ba-ccd671309180,Arithmetic Operators and Functions,/,CREATE FUNCTION,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Comparison Operators and Functions,=,CREATE FUNCTION,SQL,3,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Comparison Operators and Functions,=,CREATE / REPLACE VIEW,SQL,5,5,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Comparison Operators and Functions,=,CREATE TABLE,SQL,90,90,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statements,ACCESS,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,BIGINT,CREATE TABLE,SQL,6,6,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,BYTEINT,CREATE MACRO,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,BYTEINT,CREATE TABLE,SQL,26,26,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statements,CALL,CREATE / REPLACE PROCEDURE,SQL,4,4,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Case Expressions,CASE,CREATE / REPLACE VIEW,SQL,3,17,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Case Expressions,CASE,CREATE FUNCTION,SQL,1,10,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CASESPECIFIC,CREATE TABLE,SQL,17,17,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CHARACTER SET,CREATE TABLE,SQL,25825,25825,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CHECKSUM,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Function,COALESCE,CREATE / REPLACE PROCEDURE,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,COMPRESS,CREATE TABLE,SQL,99,99,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,3,18,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,3,28,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Function statements,CREATE FUNCTION,CREATE FUNCTION,SQL,2,24,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE GLOBAL TEMPORARY TABLE,CREATE TABLE,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE JOIN INDEX,CREATE JOIN INDEX,SQL,1,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE MACRO,CREATE MACRO,SQL,1,13,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE MULTISET TABLE,CREATE TABLE,SQL,1733,1733,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,CREATE SET TABLE,CREATE TABLE,SQL,306,306,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Table Statements,CREATE TABLE,CREATE TABLE,SQL,2047,61938,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,DATE,CREATE TABLE,SQL,1854,0,1854,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,DATE,CREATE MACRO,SQL,1,0,1,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,DECIMAL,CREATE TABLE,SQL,7298,7298,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,DEFAULT (CLAUSE),CREATE TABLE,SQL,169,171,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,DEFAULT (CLAUSE),CREATE MACRO,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,DELETE,DELETE,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statements,DESC,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
098b900f-8965-427d-87ba-ccd671309180,Attribute Functions,FORMAT,CREATE TABLE,SQL,2354,2354,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Attribute Functions,FORMAT,CREATE MACRO,SQL,1,0,1,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",FROM,SELECT,SQL,20,20,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",FROM,DELETE,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,3,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,INDEX,CREATE TABLE,SQL,31,0,31,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,INSERT,CREATE MACRO,SQL,1,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,INTEGER,CREATE TABLE,SQL,5868,5868,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,INTEGER,CREATE MACRO,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,INTEGER,CREATE FUNCTION,SQL,3,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statements,LOCK TABLE,CREATE / REPLACE VIEW,SQL,2,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Aggregate Functions,MAX,CREATE / REPLACE VIEW,SQL,2,10,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,2040,2040,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO FALLBACK,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,5792,5792,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,NUMBER,CREATE TABLE,SQL,481,481,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Table Statements,PARTITION BY,CREATE TABLE,SQL,36,66,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,PERIOD,CREATE FUNCTION,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY INDEX,CREATE JOIN INDEX,SQL,1,0,1,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,1983,0,2387,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY KEY,CREATE TABLE,SQL,59,59,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Function,PRIOR,CREATE FUNCTION,SQL,1,0,2,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,SELECT,CREATE MACRO,SQL,1,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,3,25,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,SELECT,SELECT,SQL,64,84,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Procedure Statements,SET,CREATE / REPLACE PROCEDURE,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,SMALLINT,CREATE TABLE,SQL,37,37,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlGeneratedAsIdentity,CREATE TABLE,SQL,457,2742,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlIfStatement,CREATE / REPLACE PROCEDURE,SQL,1,5,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlSingleNameExpr,Not specified,SQL,3,0,3,3,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIME WITH TIME ZONE,CREATE TABLE,SQL,27,27,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIME WITH TIME ZONE,CREATE FUNCTION,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIMESTAMP WITH TIME ZONE,CREATE TABLE,SQL,3276,3276,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIMESTAMP WITH TIME ZONE,SELECT,SQL,4,4,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,TITLE,CREATE TABLE,SQL,397,397,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,UNIQUE INDEX,CREATE TABLE,SQL,3,0,6,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,VARBYTE,CREATE TABLE,SQL,6,6,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
