PartitionKey,FileType,ObjectName,HighLevelObject,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,ConversionPercentage,EWIsNumber,ObjectDB,CharacterCount,CharacterConversionPercentage,LoCConversionPercentage
6246021a-0595-420a-9da7-5f3565fc9283,SQL,2,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,8,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,3,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,10,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,4,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,12,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,5,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,15,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,6,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,17,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,7,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,19,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,8,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,21,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,9,SELECT,CLI_T12/CLI/Encoding/Unicode (UTF-8)/Unicode (UTF-8).sql,23,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,2,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,8,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,3,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,10,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,4,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,12,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,5,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,15,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,6,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,17,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,7,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,19,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,8,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,21,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,9,SELECT,CLI_T12/CLI/Encoding/US-ASCII/US-ASCII.sql,23,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,2,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,8,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,3,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,10,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,4,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,12,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,5,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,15,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,6,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,17,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,7,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,19,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,8,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,21,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,9,SELECT,CLI_T12/CLI/Encoding/Western European (ISO 8859-1)/Western European (ISO 8859-1).sql,23,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,2,DELETE,CLI_T12/CLI/replaceDeleteAllToTruncate/replaceDeleteAllToTruncate.sql,5,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,3,DELETE,CLI_T12/CLI/replaceDeleteAllToTruncate/replaceDeleteAllToTruncate.sql,7,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,2,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,8,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,3,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,10,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,4,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,12,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,5,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,15,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,6,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,17,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,7,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,19,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,8,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,21,1,,Fully Converted,,,100%,0,,0,,
6246021a-0595-420a-9da7-5f3565fc9283,SQL,9,SELECT,CLI_T12/CLI/timeFormat/timeFormat.sql,23,1,,Fully Converted,,,100%,0,,0,,
